"(M - mandatory;
O - optional;
* - suggestive enums available here)",,,,,,,,,,,,,,,,,,,,,,,,
Category,Brand,Model,Colour*,Colour Name,Type*,Special Feature*,Includes,Weight,Length,Breadth,Height,Refurbished,Energy Rating,Battery,Power Input,Warranty,Extended Warranty,Installation Detail,Wattage,Voltage,Primary Camera,OS Type,OS Version,Comments
Air Purifier,M,M ,O,O,,M,M,M,M,M,M,,O,,,O,O,,O,O,,,,
Dehumidifier,M,M ,O,O,,M,M,M,M,M,M,,O,,,O,,,,,,,,
Humidifier,M,M ,O,O,,M,M,M,M,M,M,,O,,,O,,,,,,,,
Air Cleaner Accessories,M,M ,O,O,,M,M,,,,,,O,,,O,,,,,,,,
Air Conditioner,M,M ,O,O,M,M,M,M,M,M,M,,O,,,O,O,O,O,O,,,,
Air Conditioner Accessories,M,M ,O,O,,M,M,M,,,,,,,,O,,,,,,,,
Air Cooler,M,M ,O,O,,M,M,M,,,,,O,,,O,,,,,,,,
Trimmer,M,M ,O,O,,M,M,M,M,M,M,,,O,O,O,,,O,,,,,Moved to BPC (RET13)
Shaver,M,M ,O,O,,M,M,M,M,M,M,,,O,O,O,,,O,,,,,
Epilator,M,M ,O,O,,M,M,M,M,M,M,,,O,O,O,,,O,,,,,
Hair Straightener,M,M ,M,M,,M,M,M,M,M,M,,,,,O,,,,,,,,
Hair Dryer,M,M ,M,M,,M,M,M,M,M,M,,,,O,O,,,O,O,,,,
Hair Curler,M,M ,M,M,,M,M,M,M,M,M,,,,O,O,,,O,O,,,,
Hair Crimper,M,M ,M,M,,M,M,M,M,M,M,,,,O,O,,,O,O,,,,
Smart TV,M,M,,,,M,M,M,M,M,M,,,,,M,,,,,O,M,M,Moved from Electronics (RET14)
Standard TV,M,M,,,,M,M,M,M,M,M,,,,,M,,,,,,,,
TV Mount,M,,,,,,,,,,,,,,,,,,,,,,,
Remote,M,,,,,,,,,,,,,,,,,,,,,,,
Streaming Device,M,M,,,,M,M,,,,,,,,,,,,,,,,,
TV Accessories,M,,,,,M,,,,,,,,,,,,,,,,,,
Home Theatre Projector,M,O,,,,M,M,,,,,,,,,M,,,,,,,,
TV Part,M,O,,,,M,,,,,,,,,,,,,,,,,,
TV Remote,M,,,,,M,,,,,,,,,,,,,,,,,,
Set Top Box,M,,,,,M,M,,,,,,,,,M,,,,,,,,
TV Stand,M,,,,,,,,,,,,,,,,,,,,,,,
Electric Brush,M,M ,M,M,,M,M,M,O,O,O,,,,O,O,,,O,O,,,,
Electric Iron,M,M ,M,M,,M,M,M,O,O,O,,O,,O,O,O,,O,O,,,,
Electric Sewing Machine,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Water Heater,M,M ,O,O,,M,M,M,O,O,O,,O,,,O,,O,O,O,,,,
Heater Cables,M,M ,O,O,,M,M,M,O,O,O,,,,O,O,,,O,O,,,,
Air Heater,M,M ,O,O,,M,M,M,O,O,O,,O,,O,O,,,O,O,,,,
Coffee Maker,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Beverage Maker,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Roti Maker,M,M ,O,O,,M,M,M,O,O,O,,,,,,,,O,O,,,,
Induction Cooktop,M,M ,O,O,,M,M,M,M,M,M,,,,,O,,O,O,O,,,,
Sandwich Maker,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Electric Cooker,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Electric Kettle,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Microwave Oven,M,M ,O,O,,M,M,M,M,M,M,,O,,,O,,,O,O,,,,
OTG,M,M ,O,O,,M,M,M,M,M,M,,O,,,O,,,O,O,,,,
Toaster,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Electric Air Fryer,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Cooking Appliance Accessories ,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Coffee Grinder,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Food Processor,M,M ,O,O,,M,M,M,M,M,M,,,,,O,,,O,,,,,
Pasta Maker,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Food Processor Accessories,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Blender,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Juicer,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Mixer Grinder,M,M ,O,O,,M,M,M,O,O,O,,,,,O,O,,O,O,,,,
Wet Grinder,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Dishwasher,M,M ,M,M,,M,M,M,M,M,M,,O,,,O,O,O,O,O,,,,
Dishwasher Accessories,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Electric Chimney,M,M ,O,O,,M,M,M,,,,,,,,O,,O,O,,,,,
Kitchen Accessories,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Freezer,M,M ,O,O,,M,M,M,,,,,,,,O,O,,O,O,,,,
Refrigerator,M,M ,M,M,M,M,M,M,M,M,M,,O,,,O,O,O,O,O,,,,
Refrigerator Accessories,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,O,O,,,,
Vacuum Cleaner,M,M ,O,O,M,M,M,M,O,O,O,,,,,O,,,O,,,,,
Vacuum Cleaner Parts and Accessories,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Washing Machine,M,M ,M,M,M,M,M,M,M,M,M,,O,,,O,,O,O,O,,,,
Washing Machine Accessories,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Water Purifier,M,M ,O,O,,M,M,M,,,,,,,,O,,,,,,,,
Water Cooler,M,M ,O,O,,M,M,M,,,,,,,,O,,,,,,,,
Water Dispenser,M,M ,O,O,,M,M,M,,,,,,,,O,,,,,,,,
Water Purifier Service Kit,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Water Purifier Filter,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Water Purifier Candle,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Water Purifier Pipe,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Water Purifier Accessories,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Water Cooler Accessories,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Inverter,M,M ,O,O,,M,M,M,,,,,,,,O,,,,,,,,
Inverter Batteries,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Battery tray,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Voltage Stabilizer,M,M ,O,O,,M,M,M,O,O,O,,,,,O,,,,,,,,
Ceiling Fans,M,M,O,O,,M,M,M,,,,,O,,,O,,,,,,,,
