"(M - mandatory;
O - optional;
* - suggestive enums available here)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Brand,Model,Model Year,Colour*,Colour Name,RAM,RAM unit*,ROM,ROM unit*,Storage,Storage unit*,Storage Type*,Screen Size,Primary Camera,Secondary Camera,CPU,GPU,Battery Capacity,Playtime,OS Type,OS Version,Connectivity*,Form factor,Compatible Devices*,Special Feature*,Includes,Weight,Length,Breadth,Height,Refurbished,Resolution,Series,Printer Output*,Printer Speed,Warranty,Comments
Mobile Phone,M,M,O,M,M,M,M,O,O,M,M,,O,O,O,O,O,O,,M,O,O,O,,,,M,M,M,M,O,O,,,,O,
Smart Watch,M,M,O,M,M,,,,,,,,M,,,,,,,,,,,,,,M,O,O,O,O,,,,,O,
Headset,M,M,O,,,,,,,,,,,,,,,,,,,M,M,,,,M,O,O,O,O,,,,,O,
Laptop,M,,O,M,M,M,M,O,O,M,M,M,M,,,M,O,O,,M,M,,,,,O,M,M,M,M,O,O,O,,,O,
Desktop,M,M,O,,,M,M,O,O,M,M,M,M,,,M,O,O,,M,M,,O,,,O,M,M,M,M,O,O,,,,O,
Tablet,M,M,O,,,M,M,O,O,M,M,M,M,,,M,O,O,,M,M,,,,,O,M,M,M,M,O,O,,,,O,
Keyboard,M,,,M,M,,,,,,,,,,,,,,,,,M,,M,,O,M,M,M,M,O,,,,,,
Monitor,M,,,,,,,,,,,,M,,,,,,,,,,,,M,,M,M,M,M,O,O,,,,,
Mouse,M,,,M,M,,,,,,,,,,,,,,,,,M,,,M,,M,M,M,M,O,,,,,,
Power Bank,M,M,O,,,,,,,,,,,,,,,,,,,,,,,,M,O,O,O,O,,,,,,
Earphone,M,M,,M,M,,,,,,,,,,,,,,,,,M,,,O,M,,,,,,,,,,M,
True Wireless Stereo (TWS),M,M,,M,M,,,,,,,,,,,,,O,O,,,M,,,O,M,,,,,,,,,,M,
Adapter,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extension Cord,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Accessories,M,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,
Home Audio,M,M,,M,M,,,,,,,,,,,,,,,,,M,,O,M,M,M,M,M,M,,,O,,,M,
Microphone,M,M,,,,,,,,,,,,,,,,,,,,O,,,M,M,,,,,,,,,,,
Speaker,M,M,,M,M,,,,,,,,,,,,,,,,,M,,,M,M,M,M,M,M,,,,,,M,
Vehicle Audio,M,M,,,,,,,,,,,,,,,,,,,,M,,,M,M,,,,,,,,,,,
Camcorder,M,M,O,O,O,,,,,,O,M,M,M,,,,,,,,M,,,M,M,M,M,M,M,,,O,,,M,
Camera,M,M,O,O,O,,,,,,O,M,,M,,,,M,,,,M,,M,M,M,M,M,M,M,,,O,,,M,
Camera Bag,M,,,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batteries,M,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,
Charger,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera Lens,M,M,,,,,,,,,,,,M,,,,,,,,,,,M,M,,,,,,,,,,,
Photo Printer,M,M,,,,,,,,,,,,,,,,,,,,M,,,M,M,,,,,,,,,,,
Tripod,M,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,
Camera Accessories,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPS,M,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,
Networking Device,M,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printer,M,M,,,,,,,,,,,,,,,,,,,,M,,,M,M,M,M,M,M,,,,M,M,M,
Printer Accessories,M,,,,,,,,,,,,,,,,,,,,,,,,M,M,,,,,,,,,,,
Storage Drive,M,,,O,O,,,,,,M,,,,,,,,,,,M,,,M,M,,,,,,,,,,,
Pen Drive,M,,,O,O,,,,,,M,,,,,,,,,,,,,,M,,,,,,,,,,,,
Memory Card,M,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Component,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooling Pad,M,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,
Docking Station,M,M,,O,O,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,
Keyboard Guard,M,,,O,O,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,
Laptop Skin,M,,,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Stand,M,,,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mousepad,M,,,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
